mu,sigma,opp,result,date
1500,350,,,
1662.30921255,290.31746003,Bordeaux,1,2013-08-10T00:00:00
1751.7540581,251.258491525,Montpellier,1,2013-08-18T00:00:00
1660.35120224,234.554506651,Toulouse,0.5,2013-08-23T00:00:00
1792.47054123,208.375211959,Marseille,1,2013-09-01T00:00:00
1825.12383962,194.71668639,Lorient,1,2013-09-15T00:00:00
1796.32687013,177.655869441,Paris Saint-Germain,0.5,2013-09-22T00:00:00
1821.21520852,168.403580075,Bastia,1,2013-09-25T00:00:00
1780.4203855,159.880571469,Stade de Reims,0.5,2013-09-29T00:00:00
1799.82456,153.291473342,St Etienne,1,2013-10-05T00:00:00
1744.79126749,151.509657822,Sochaux,0.5,2013-10-20T00:00:00
1760.17045376,146.305580028,Lyon,1,2013-10-27T00:00:00
1699.64809359,136.937621388,Lille,0,2013-11-03T00:00:00
1672.73683185,131.443122074,Evian Thonon Gaillard,0.5,2013-11-08T00:00:00
