mu,sigma,opp,result,date
1500,350,,,
1662.30921255,290.31746003,Livorno,1,2013-08-25T00:00:00
1791.93085156,247.461059205,Hellas Verona,1,2013-09-01T00:00:00
1818.5000066,234.093840174,Parma,1,2013-09-16T00:00:00
1875.44900428,210.104834748,Lazio,1,2013-09-22T00:00:00
1885.88086972,205.250221499,Sampdoria,1,2013-09-25T00:00:00
1898.20427365,199.503274103,Bologna,1,2013-09-29T00:00:00
1954.90750321,180.571323522,Internazionale,1,2013-10-05T00:00:00
2003.02528314,165.525391975,Napoli,1,2013-10-18T00:00:00
2008.5022556,163.555383905,Udinese,1,2013-10-27T00:00:00
2010.59133832,163.004596086,Chievo Verona,1,2013-10-31T00:00:00
1950.07884314,160.427207883,Torino,0.5,2013-11-03T00:00:00
