mu,sigma,opp,result,date
1500,350,,,
1337.69078745,290.31746003,Aston Villa,0,2013-08-17T00:00:00
1566.93775148,260.486583291,Fulham,1,2013-08-24T00:00:00
1721.08489876,228.773516619,Tottenham Hotspur,1,2013-09-01T00:00:00
1743.22529312,218.15751649,Sunderland,1,2013-09-14T00:00:00
1806.50735738,194.755827137,Marseille,1,2013-09-18T00:00:00
1847.62599594,179.909414256,Stoke City,1,2013-09-22T00:00:00
1879.04572549,168.830186728,Swansea City,1,2013-09-28T00:00:00
1939.88641987,155.882766596,Napoli,1,2013-10-01T00:00:00
1890.01856466,152.797630812,West Bromwich Albion,0.5,2013-10-06T00:00:00
1898.82175693,149.916201453,Norwich City,1,2013-10-19T00:00:00
1824.49370569,141.429496296,Borussia Dortmund,0,2013-10-22T00:00:00
1828.08402247,140.540382562,Crystal Palace,1,2013-10-26T00:00:00
1856.5344784,133.55240817,Liverpool,1,2013-11-02T00:00:00
1895.75780825,126.165517688,Borussia Dortmund,1,2013-11-06T00:00:00
