mu,sigma,opp,result,date
1337.69078745,290.31746003,Cagliari,0,2013-08-25T00:00:00
1566.93775148,260.486583291,Torino,1,2013-09-01T00:00:00
1495.07940427,229.450032331,Napoli,0,2013-09-14T00:00:00
1431.2077448,205.669241934,Fiorentina,0,2013-09-22T00:00:00
1317.23493531,187.000719919,Parma,0,2013-09-25T00:00:00
1412.76665735,171.09991134,Udinese,1,2013-09-29T00:00:00
1460.39074843,158.138289591,Chievo Verona,1,2013-10-05T00:00:00
1528.45184089,147.411307234,Lazio,1,2013-10-20T00:00:00
1457.18775752,139.708472839,Sampdoria,0,2013-10-26T00:00:00
1486.77856925,134.74630414,Internazionale,0.5,2013-10-29T00:00:00
1422.61786939,128.795677121,Livorno,0,2013-11-03T00:00:00
1454.79775177,122.433011613,Bologna,1,2013-11-10T00:00:00
