mu,sigma,opp,result,date
1662.30921255,290.31746003,Levante,1,2013-08-18T00:00:00
1720.31516965,260.486532706,Malaga,1,2013-08-25T00:00:00
1782.57197262,231.977299149,Valencia,1,2013-09-01T00:00:00
1806.10429409,220.285639429,Sevilla FC,1,2013-09-14T00:00:00
1821.0710077,212.888249952,Rayo Vallecano,1,2013-09-21T00:00:00
1873.78867343,191.515149694,Real Sociedad,1,2013-09-24T00:00:00
1884.36362161,186.936320521,Almeria,1,2013-09-28T00:00:00
1899.59967524,180.464575346,Real Valladolid,1,2013-10-05T00:00:00
1829.33305165,176.746842772,Osasuna,0.5,2013-10-19T00:00:00
1784.26386529,166.868457553,AC Milan,0.5,2013-10-22T00:00:00
1864.42213058,154.295952346,Real Madrid,1,2013-10-26T00:00:00
1872.74989227,151.457340775,Celta Vigo,1,2013-10-29T00:00:00
1888.07620429,146.37758581,Espanyol,1,2013-11-01T00:00:00
1899.36447272,142.729042075,AC Milan,1,2013-11-06T00:00:00
1905.77340355,140.771092375,Real Betis,1,2013-11-10T00:00:00
