mu,sigma,opp,result,date
1500,350,,,
1337.69078745,290.31746003,Nantes,0,2013-08-10T00:00:00
1566.93775148,260.486583291,Valenciennes,1,2013-08-17T00:00:00
1387.90751356,231.416352493,Bordeaux,0,2013-08-24T00:00:00
1493.16494157,204.237466423,Toulouse,1,2013-08-31T00:00:00
1473.37309682,184.540141882,Guingamp,0.5,2013-09-14T00:00:00
1487.97713311,168.33040863,Marseille,0.5,2013-09-21T00:00:00
1465.2769086,160.544879439,AS Monaco,0,2013-09-25T00:00:00
1464.30662137,148.832247557,St Etienne,0.5,2013-09-28T00:00:00
1499.36392919,140.040522914,Lorient,1,2013-10-04T00:00:00
1481.4759173,134.975681614,Paris Saint-Germain,0,2013-10-19T00:00:00
1535.24965596,127.840671314,Nice,1,2013-10-26T00:00:00
1495.75404304,121.422044157,Stade de Reims,0,2013-11-02T00:00:00
