mu,sigma,opp,result,date
1500,350,,,
1662.30921255,290.31746003,Borussia Monchengladbach,1,2013-08-09T00:00:00
1720.31516965,260.486532706,Eintracht Frankfurt,1,2013-08-17T00:00:00
1793.8942132,229.058701326,Nurnberg,1,2013-08-24T00:00:00
1712.39311489,216.770121485,SC Freiburg,0.5,2013-08-27T00:00:00
1793.74180046,192.579731871,Hannover 96,1,2013-09-14T00:00:00
1832.51579829,178.561227951,Schalke 04,1,2013-09-21T00:00:00
1863.69519549,167.439510215,VfL Wolfsburg,1,2013-09-28T00:00:00
1888.43509959,159.039845967,Manchester City,1,2013-10-02T00:00:00
1867.2554827,148.524221691,Bayer Leverkusen,0.5,2013-10-05T00:00:00
1875.55298234,145.882575498,Mainz,1,2013-10-19T00:00:00
1891.83875413,140.856210586,Hertha Berlin,1,2013-10-26T00:00:00
1902.37315955,137.680949031,TSG Hoffenheim,1,2013-11-02T00:00:00
