mu,sigma,opp,result,date
1662.30921255,290.31746003,Atalanta,1,2013-08-25T00:00:00
1433.06224852,260.486583291,AC Milan,0,2013-09-01T00:00:00
1502.15789909,235.210171313,Fiorentina,0.5,2013-09-15T00:00:00
1438.39850534,214.514860099,Sampdoria,0.5,2013-09-21T00:00:00
1453.1161166,190.855069166,Livorno,0.5,2013-09-25T00:00:00
1512.81436397,182.137772266,Internazionale,0.5,2013-09-29T00:00:00
1413.96031183,167.647616938,Udinese,0,2013-10-06T00:00:00
1460.6591903,155.028833501,Catania,1,2013-10-19T00:00:00
1409.16700553,144.124716205,Lazio,0,2013-10-27T00:00:00
1348.12358465,135.760465319,Bologna,0,2013-10-30T00:00:00
1331.77931683,131.220302418,Hellas Verona,0,2013-11-03T00:00:00
1390.91624685,125.600127071,Torino,1,2013-11-10T00:00:00
