mu,sigma,opp,result,date
1500,350,,,
1662.30921255,290.31746003,Hull City,1,2013-08-18T00:00:00
1791.93085156,247.461059205,Aston Villa,1,2013-08-21T00:00:00
1764.23756161,221.075186465,Manchester United,0.5,2013-08-26T00:00:00
1609.55684695,203.749661828,Everton,0,2013-09-14T00:00:00
1641.93619371,190.460520241,Fulham,1,2013-09-21T00:00:00
1652.78255203,172.694938619,Tottenham Hotspur,0.5,2013-09-28T00:00:00
1685.99825582,161.709786988,Norwich City,1,2013-10-06T00:00:00
1711.03630831,153.519948549,Cardiff City,1,2013-10-19T00:00:00
1748.24893485,143.756459702,Schalke 04,1,2013-10-22T00:00:00
1785.94646605,135.213029549,Manchester City,1,2013-10-27T00:00:00
1708.37879542,131.5834184,Newcastle United,0,2013-11-02T00:00:00
1736.09730798,125.273413571,Schalke 04,1,2013-11-06T00:00:00
