mu,sigma,opp,result,date
1500,350,,,
1500.0,290.317451614,Celta Vigo,0.5,2013-08-19T00:00:00
1677.81596385,251.258497106,Valencia,1,2013-08-24T00:00:00
1584.65183551,235.379353125,Real Betis,0.5,2013-09-01T00:00:00
1676.01136261,205.887315058,Granada,1,2013-09-15T00:00:00
1764.95272388,184.384012299,Athletic Bilbao,1,2013-09-23T00:00:00
1689.24739857,168.505351365,Villarreal,0,2013-09-26T00:00:00
1587.55380905,159.717302326,Getafe,0,2013-09-29T00:00:00
1502.49235046,150.832239908,Elche,0,2013-10-05T00:00:00
1605.24790191,148.337387657,Atletico Madrid,1,2013-10-19T00:00:00
1545.20157964,138.877632222,Levante,0,2013-10-26T00:00:00
1522.3632104,132.64636486,Malaga,0.5,2013-10-29T00:00:00
1510.22764262,129.401958404,Barcelona,0,2013-11-01T00:00:00
