mu,sigma,opp,result,date
1500,350,,,
1337.69078745,290.31746003,Borussia Dortmund,0,2013-08-10T00:00:00
1279.68483035,260.486532706,Werder Bremen,0,2013-08-17T00:00:00
1392.66154471,225.673906004,VfB Stuttgart,1,2013-08-25T00:00:00
1504.88185133,200.367699945,Nurnberg,1,2013-08-31T00:00:00
1573.11846093,181.7911753,SC Freiburg,1,2013-09-14T00:00:00
1509.45492374,166.05796591,Hannover 96,0,2013-09-21T00:00:00
1509.40585694,153.580429713,Borussia Monchengladbach,0.5,2013-09-27T00:00:00
1457.44665216,143.291573308,Schalke 04,0,2013-10-05T00:00:00
1408.90108924,134.708795486,VfL Wolfsburg,0,2013-10-20T00:00:00
1397.32572585,131.427545225,Bayer Leverkusen,0,2013-10-26T00:00:00
1439.1291129,124.536631253,Mainz,1,2013-11-03T00:00:00
