mu,sigma,opp,result,date
1662.30921255,290.31746003,Catania,1,2013-08-26T00:00:00
1720.31516965,260.486532706,Genoa,1,2013-09-01T00:00:00
1651.21958298,235.210078985,Cagliari,0.5,2013-09-15T00:00:00
1717.75060316,209.437718038,Atalanta,1,2013-09-22T00:00:00
1641.11681544,187.981105099,Internazionale,0,2013-09-26T00:00:00
1599.55355327,175.469027705,Parma,0.5,2013-09-30T00:00:00
1589.92590757,161.148120013,Lazio,0.5,2013-10-06T00:00:00
1689.51883802,154.251499692,Juventus,1,2013-10-20T00:00:00
1698.85938961,151.103759443,Chievo Verona,1,2013-10-27T00:00:00
1663.11676139,141.697231702,Napoli,0,2013-10-30T00:00:00
1692.53290863,134.19149974,AC Milan,1,2013-11-02T00:00:00
1704.98654337,130.704802049,Sampdoria,1,2013-11-10T00:00:00
