mu,sigma,opp,result,date
1500,350,,,
1662.30921255,290.31746003,Osasuna,1,2013-08-18T00:00:00
1532.68757355,247.461059205,Real Madrid,0,2013-08-26T00:00:00
1546.1190487,216.759101956,Celta Vigo,0.5,2013-08-31T00:00:00
1466.84592733,194.220518369,Espanyol,0,2013-09-15T00:00:00
1463.69282768,175.118897459,Real Betis,0.5,2013-09-22T00:00:00
1377.83929613,161.481002596,Valencia,0,2013-09-25T00:00:00
1475.88016689,154.026516439,Athletic Bilbao,1,2013-09-30T00:00:00
1447.51268372,145.982462735,Villarreal,0,2013-10-04T00:00:00
1415.76336934,137.962014713,Getafe,0,2013-10-20T00:00:00
1473.79699583,130.845804832,Elche,1,2013-10-26T00:00:00
1464.4099895,128.44172087,Atletico Madrid,0,2013-10-31T00:00:00
1515.24183636,122.361517302,Levante,1,2013-11-03T00:00:00
1542.08748682,117.074534755,Malaga,1,2013-11-08T00:00:00
