mu,sigma,opp,result,date
1337.69078745,290.31746003,Marseille,0,2013-08-11T00:00:00
1279.68483035,260.486532706,St Etienne,0,2013-08-17T00:00:00
1471.50693217,235.21013662,Lorient,1,2013-08-24T00:00:00
1390.77942209,206.763408489,Paris Saint-Germain,0,2013-08-31T00:00:00
1411.08856703,186.265298448,Bastia,0.5,2013-09-14T00:00:00
1443.89506073,172.44167661,Stade de Reims,0.5,2013-09-21T00:00:00
1477.54945565,161.359353675,Sochaux,1,2013-09-25T00:00:00
1428.12112168,149.662457358,Nice,0,2013-09-28T00:00:00
1488.14788019,139.943779552,Stade Rennes,1,2013-10-05T00:00:00
1525.49051311,131.815667741,Evian Thonon Gaillard,1,2013-10-19T00:00:00
1549.51236026,126.057190844,AC Ajaccio,1,2013-10-26T00:00:00
1493.88643784,120.759254079,Lyon,0,2013-11-02T00:00:00
1514.34112164,116.983482874,Lille,0.5,2013-11-09T00:00:00
