mu,sigma,opp,result,date
1662.30921255,290.31746003,Sampdoria,1,2013-08-24T00:00:00
1791.93085156,247.461059205,Lazio,1,2013-08-31T00:00:00
1775.36766948,217.699652873,Internazionale,0.5,2013-09-14T00:00:00
1827.23994566,198.112189824,Hellas Verona,1,2013-09-22T00:00:00
1851.14962566,188.166968026,Chievo Verona,1,2013-09-25T00:00:00
1878.4897389,177.527160202,Torino,1,2013-09-29T00:00:00
1897.97216096,170.162134952,AC Milan,1,2013-10-06T00:00:00
1786.54248133,161.944180148,Fiorentina,0,2013-10-20T00:00:00
1738.41602226,150.065432356,Real Madrid,0,2013-10-23T00:00:00
1752.8946688,145.431361712,Genoa,1,2013-10-27T00:00:00
1761.26611494,142.819656552,Catania,1,2013-10-30T00:00:00
1777.38897836,137.97537943,Parma,1,2013-11-02T00:00:00
1786.15150234,130.213505266,Real Madrid,0.5,2013-11-05T00:00:00
1835.97081603,123.682459709,Napoli,1,2013-11-10T00:00:00
