mu,sigma,opp,result,date
1662.30921255,290.31746003,Udinese,1,2013-08-25T00:00:00
1532.68757355,247.461059205,Juventus,0,2013-08-31T00:00:00
1611.11041937,218.211324687,Chievo Verona,1,2013-09-15T00:00:00
1560.3425405,199.079248139,AS Roma,0,2013-09-22T00:00:00
1588.68046115,187.629167424,Catania,1,2013-09-25T00:00:00
1540.08671935,177.973805845,Sassuolo,0.5,2013-09-29T00:00:00
1550.00098362,162.979624066,Fiorentina,0.5,2013-10-06T00:00:00
1477.92014504,151.147686878,Atalanta,0,2013-10-20T00:00:00
1527.05263643,141.108916015,Cagliari,1,2013-10-27T00:00:00
1524.76753977,132.655367063,AC Milan,0.5,2013-10-30T00:00:00
1472.61940272,125.974148112,Genoa,0,2013-11-03T00:00:00
1468.64277474,119.892612827,Parma,0.5,2013-11-10T00:00:00
