mu,sigma,opp,result,date
1500,350,,,
1337.69078745,290.31746003,Barcelona,0,2013-08-18T00:00:00
1337.69078745,247.461044398,Sevilla FC,0.5,2013-08-25T00:00:00
1493.58064027,220.629306175,Rayo Vallecano,1,2013-08-30T00:00:00
1541.76960855,199.478788085,Real Sociedad,0.5,2013-09-14T00:00:00
1507.68854561,183.391785717,Almeria,0.5,2013-09-21T00:00:00
1489.70761441,168.424954184,Real Valladolid,0.5,2013-09-24T00:00:00
1521.79037279,158.605339065,Osasuna,1,2013-09-29T00:00:00
1500.33085131,151.746193266,Real Madrid,0,2013-10-05T00:00:00
1532.66527274,143.070162917,Celta Vigo,1,2013-10-21T00:00:00
1588.71226327,134.666981102,Espanyol,1,2013-10-26T00:00:00
1569.86576107,128.498607825,Real Betis,0.5,2013-10-31T00:00:00
1518.9906099,122.408975238,Granada,0,2013-11-03T00:00:00
