mu,sigma,opp,result,date
1662.30921255,290.31746003,Lorient,1,2013-08-10T00:00:00
1433.06224852,260.486583291,Stade de Reims,0,2013-08-17T00:00:00
1624.88452034,235.210228991,St Etienne,1,2013-08-25T00:00:00
1605.43137333,207.070000127,Stade Rennes,0.5,2013-08-31T00:00:00
1504.38733422,186.045152706,Nice,0,2013-09-15T00:00:00
1539.2260829,173.39016012,Sochaux,1,2013-09-21T00:00:00
1599.99812617,158.790677051,Evian Thonon Gaillard,1,2013-09-24T00:00:00
1572.25793501,149.176860987,Lyon,0.5,2013-09-28T00:00:00
1602.65987451,140.903934537,AC Ajaccio,1,2013-10-05T00:00:00
1643.24247078,132.454065051,Montpellier,1,2013-10-19T00:00:00
1681.69218858,125.3601049,Nantes,1,2013-10-25T00:00:00
1726.69240051,119.751467351,AS Monaco,1,2013-11-03T00:00:00
1706.58866852,116.085579219,Guingamp,0.5,2013-11-09T00:00:00
