mu,sigma,opp,result,date
1662.30921255,290.31746003,Stoke City,1,2013-08-17T00:00:00
1760.02716384,245.763660731,Aston Villa,1,2013-08-24T00:00:00
1851.23272902,215.230027568,Manchester United,1,2013-09-01T00:00:00
1776.23418387,204.92889472,Swansea City,0.5,2013-09-16T00:00:00
1620.08418568,194.032260747,Southampton,0,2013-09-21T00:00:00
1635.23481783,187.615065263,Sunderland,1,2013-09-29T00:00:00
1655.43575093,179.358918385,Crystal Palace,1,2013-10-05T00:00:00
1632.5591631,164.597383258,Newcastle United,0.5,2013-10-19T00:00:00
1671.82193228,153.18978968,West Bromwich Albion,1,2013-10-26T00:00:00
1638.56213001,143.918191053,Arsenal,0,2013-11-02T00:00:00
1655.3365229,138.867095424,Fulham,1,2013-11-09T00:00:00
