mu,sigma,opp,result,date
1337.69078745,290.31746003,Lille,0,2013-08-10T00:00:00
1566.93775148,260.486583291,Nantes,1,2013-08-18T00:00:00
1375.11547966,235.210228991,Guingamp,0,2013-08-24T00:00:00
1475.89496907,207.013357433,Valenciennes,1,2013-08-31T00:00:00
1443.58755566,193.634806323,AS Monaco,0,2013-09-15T00:00:00
1420.04502929,175.519665061,Bordeaux,0.5,2013-09-22T00:00:00
1368.81191344,161.574781881,Toulouse,0,2013-09-25T00:00:00
1340.58993958,152.557693262,Marseille,0,2013-09-28T00:00:00
1303.92414243,143.026472903,Bastia,0,2013-10-04T00:00:00
1272.63482487,135.295831303,St Etienne,0,2013-10-20T00:00:00
1314.91962532,127.748978932,Sochaux,1,2013-10-26T00:00:00
1307.83979173,125.95263207,Paris Saint-Germain,0,2013-11-01T00:00:00
1332.2314048,122.090264861,Stade de Reims,0.5,2013-11-09T00:00:00
