mu,sigma,opp,result,date
1662.30921255,290.31746003,Nice,1,2013-08-10T00:00:00
1751.7540581,251.258491525,Sochaux,1,2013-08-16T00:00:00
1626.96911269,222.846404354,Real Sociedad,0,2013-08-20T00:00:00
1526.19715873,200.289949465,Stade de Reims,0,2013-08-24T00:00:00
1482.43415075,185.247652152,Real Sociedad,0,2013-08-28T00:00:00
1385.40220546,172.050156881,Evian Thonon Gaillard,0,2013-08-31T00:00:00
1410.41607957,160.912805515,Stade Rennes,0.5,2013-09-15T00:00:00
1417.06529612,150.489794759,Real Betis,0.5,2013-09-19T00:00:00
1473.04812906,141.499940623,Nantes,1,2013-09-22T00:00:00
1406.66260554,134.938171839,AC Ajaccio,0,2013-09-25T00:00:00
1426.4194896,129.309934617,Lille,0.5,2013-09-28T00:00:00
1396.03027241,123.169848734,Montpellier,0,2013-10-06T00:00:00
1397.55642529,117.460840228,Bordeaux,0.5,2013-10-20T00:00:00
1387.78053618,115.326705269,AS Monaco,0,2013-10-27T00:00:00
1434.47251568,111.431197548,Guingamp,1,2013-11-02T00:00:00
1468.71899436,107.316188186,St Etienne,1,2013-11-10T00:00:00
