mu,sigma,opp,result,date
1500,350,,,
1662.30921255,290.31746003,VfB Stuttgart,1,2013-08-11T00:00:00
1720.31516965,260.486532706,SC Freiburg,1,2013-08-17T00:00:00
1788.30779731,230.397176902,VfL Wolfsburg,1,2013-08-24T00:00:00
1627.32107123,210.462228157,Hannover 96,0,2013-08-31T00:00:00
1502.90435268,191.799086091,Schalke 04,0,2013-09-14T00:00:00
1444.73066061,173.909663982,Bayer Leverkusen,0,2013-09-21T00:00:00
1373.6720258,159.55541586,Hertha Berlin,0,2013-09-28T00:00:00
1384.4752359,148.388894621,TSG Hoffenheim,0.5,2013-10-05T00:00:00
1376.19032926,145.755830693,Bayern Munich,0,2013-10-19T00:00:00
1405.86112048,138.128222506,TSV Eintracht Braunschweig,1,2013-10-26T00:00:00
1359.94809654,130.002840274,FC Augsburg,0,2013-11-03T00:00:00
