mu,sigma,opp,result,date
1500,350,,,
1662.30921255,290.31746003,Bastia,1,2013-08-10T00:00:00
1433.06224852,260.486583291,Lorient,0,2013-08-18T00:00:00
1325.03190683,224.931531438,Paris Saint-Germain,0,2013-08-25T00:00:00
1398.91924482,210.892549648,Stade de Reims,0.5,2013-08-31T00:00:00
1470.63924461,188.245240531,Sochaux,1,2013-09-14T00:00:00
1385.5670141,169.637305091,Lyon,0,2013-09-22T00:00:00
1486.49064608,160.205697467,Nice,1,2013-09-25T00:00:00
1554.05028089,148.687279874,Stade Rennes,1,2013-09-29T00:00:00
1591.51463749,139.456274458,Evian Thonon Gaillard,1,2013-10-05T00:00:00
1614.16092893,133.367249356,AC Ajaccio,1,2013-10-19T00:00:00
1575.2129813,126.109676488,Lille,0,2013-10-25T00:00:00
1564.27176578,120.29658383,Montpellier,0.5,2013-11-03T00:00:00
