mu,sigma,opp,result,date
1500,350,,,
1662.30921255,290.31746003,Bologna,1,2013-08-25T00:00:00
1751.7540581,251.258491525,Chievo Verona,1,2013-08-31T00:00:00
1819.61303826,223.654522955,Atalanta,1,2013-09-14T00:00:00
1926.20102096,197.44033893,Borussia Dortmund,1,2013-09-18T00:00:00
1949.0731205,188.409033437,AC Milan,1,2013-09-22T00:00:00
1870.18743295,187.072260788,Sassuolo,0.5,2013-09-25T00:00:00
1881.17121437,182.505033696,Genoa,1,2013-09-28T00:00:00
1811.02357815,165.836058331,Arsenal,0,2013-10-01T00:00:00
1827.53868735,159.930357921,Livorno,1,2013-10-06T00:00:00
1788.75895665,149.776953289,AS Roma,0,2013-10-18T00:00:00
1809.63284708,143.174777315,Marseille,1,2013-10-22T00:00:00
1826.63287305,138.2378612,Torino,1,2013-10-27T00:00:00
1857.0197587,131.216140833,Fiorentina,1,2013-10-30T00:00:00
1861.00521557,130.302784254,Catania,1,2013-11-02T00:00:00
1870.35890673,127.712783786,Marseille,1,2013-11-06T00:00:00
