mu,sigma,opp,result,date
1337.69078745,290.31746003,Granada,0,2013-08-18T00:00:00
1279.68483035,260.486532706,Athletic Bilbao,0,2013-08-23T00:00:00
1247.03578514,243.593892948,Villarreal,0,2013-08-31T00:00:00
1134.40408164,211.246520187,Getafe,0,2013-09-15T00:00:00
1283.87142411,196.109453985,Elche,1,2013-09-20T00:00:00
1276.42430912,192.943338202,Atletico Madrid,0,2013-09-24T00:00:00
1235.85187646,177.738143602,Levante,0,2013-09-29T00:00:00
1350.56805845,167.049189483,Malaga,1,2013-10-04T00:00:00
1409.7177311,164.144540339,Barcelona,0.5,2013-10-19T00:00:00
1353.00223283,150.78404662,Sevilla FC,0,2013-10-27T00:00:00
1395.22634235,140.754908045,Rayo Vallecano,1,2013-10-30T00:00:00
1357.95360199,132.24043438,Real Sociedad,0,2013-11-02T00:00:00
1312.45140287,125.103782143,Almeria,0,2013-11-08T00:00:00
