mu,sigma,opp,result,date
1500,350,,,
1337.69078745,290.31746003,Bayer Leverkusen,0,2013-08-10T00:00:00
1279.68483035,260.486532706,Mainz,0,2013-08-17T00:00:00
1364.47601229,238.306101054,TSG Hoffenheim,0.5,2013-08-24T00:00:00
1453.77309632,224.436133944,Bayern Munich,0.5,2013-08-27T00:00:00
1370.67753785,197.56973146,FC Augsburg,0,2013-09-14T00:00:00
1378.4175193,177.869965485,Hertha Berlin,0.5,2013-09-22T00:00:00
1356.19511961,169.600096696,Borussia Dortmund,0,2013-09-28T00:00:00
1290.27946581,155.82839111,Sevilla FC,0,2013-10-03T00:00:00
1317.75062578,147.274242518,Eintracht Frankfurt,0.5,2013-10-06T00:00:00
1334.36123273,138.712908742,Werder Bremen,0.5,2013-10-19T00:00:00
1298.07547954,130.959919431,Hamburg SV,0,2013-10-27T00:00:00
1345.74455551,124.273572572,Nurnberg,1,2013-11-02T00:00:00
