mu,sigma,opp,result,date
1500,350,,,
1337.69078745,290.31746003,Juventus,0,2013-08-24T00:00:00
1337.69078745,247.461044398,Bologna,0.5,2013-09-01T00:00:00
1219.33617321,217.485612428,Genoa,0,2013-09-15T00:00:00
1272.93965017,201.353242962,Cagliari,0.5,2013-09-21T00:00:00
1263.10555813,197.074204999,AS Roma,0,2013-09-25T00:00:00
1219.26069453,181.261077112,AC Milan,0,2013-09-28T00:00:00
1265.82459795,171.043042825,Torino,0.5,2013-10-06T00:00:00
1354.26279846,158.57749859,Livorno,1,2013-10-20T00:00:00
1436.53687768,148.802008856,Atalanta,1,2013-10-26T00:00:00
1406.63349957,140.54484903,Hellas Verona,0,2013-10-30T00:00:00
1346.23834343,132.920055205,Sassuolo,0,2013-11-03T00:00:00
