mu,sigma,opp,result,date
1500,350,,,
1500.0,290.317451614,Evian Thonon Gaillard,0.5,2013-08-10T00:00:00
1410.55516664,251.258475319,Lyon,0,2013-08-16T00:00:00
1302.76512281,218.858924057,Montpellier,0,2013-08-24T00:00:00
1328.07072779,196.460955357,AC Ajaccio,0.5,2013-08-31T00:00:00
1264.67464048,178.468037605,Nantes,0,2013-09-14T00:00:00
1232.23251321,167.392570011,Lille,0,2013-09-21T00:00:00
1200.28360175,157.323447025,Guingamp,0,2013-09-25T00:00:00
1256.06707778,146.684682657,Valenciennes,1,2013-09-28T00:00:00
1221.76821701,138.043799089,Bordeaux,0,2013-10-06T00:00:00
1265.60605554,136.847038656,AS Monaco,0.5,2013-10-20T00:00:00
1222.40645361,129.010016982,Lorient,0,2013-10-26T00:00:00
1248.86216405,125.137514275,St Etienne,0.5,2013-11-02T00:00:00
