mu,sigma,opp,result,date
1662.30921255,290.31746003,West Bromwich Albion,1,2013-08-17T00:00:00
1576.68875092,260.486536783,Sunderland,0.5,2013-08-24T00:00:00
1391.34393157,232.981376164,Norwich City,0,2013-08-31T00:00:00
1400.8142076,204.973423385,West Ham United,0.5,2013-09-15T00:00:00
1557.0366848,194.069424063,Liverpool,1,2013-09-21T00:00:00
1589.82132725,181.317486155,Crystal Palace,1,2013-09-28T00:00:00
1654.26515876,165.03037738,Swansea City,1,2013-10-06T00:00:00
1639.06246296,152.790348927,Manchester United,0.5,2013-10-19T00:00:00
1661.12836115,145.951388674,Fulham,1,2013-10-26T00:00:00
1626.02584502,140.769109267,Stoke City,0.5,2013-11-02T00:00:00
1659.40996051,132.850438761,Hull City,1,2013-11-09T00:00:00
