mu,sigma,opp,result,date
1500,350,,,
1337.69078745,290.31746003,Werder Bremen,0,2013-08-10T00:00:00
1279.68483035,260.486532706,Borussia Dortmund,0,2013-08-18T00:00:00
1166.70811599,225.673906004,Eintracht Frankfurt,0,2013-08-25T00:00:00
1102.9224675,202.067494677,Hamburg SV,0,2013-08-31T00:00:00
1151.03694011,187.40340313,Nurnberg,0.5,2013-09-15T00:00:00
1125.79042676,177.610446453,Borussia Monchengladbach,0,2013-09-20T00:00:00
1105.38362018,169.867549665,VfB Stuttgart,0,2013-09-29T00:00:00
1232.71398529,165.061976397,VfL Wolfsburg,1,2013-10-05T00:00:00
1213.61273249,158.251604936,Schalke 04,0,2013-10-19T00:00:00
1179.20470411,148.273541086,Mainz,0,2013-10-26T00:00:00
1289.99470241,146.953490809,Bayer Leverkusen,1,2013-11-02T00:00:00
1309.47182371,138.390528508,Hannover 96,0.5,2013-11-08T00:00:00
