mu,sigma,opp,result,date
1337.69078745,290.31746003,Lazio,0,2013-08-25T00:00:00
1515.50677715,251.258513316,Parma,1,2013-09-01T00:00:00
1472.66686251,222.558530233,Bologna,0.5,2013-09-15T00:00:00
1348.3935952,199.514027035,Chievo Verona,0,2013-09-21T00:00:00
1444.10547991,180.52082595,Genoa,1,2013-09-24T00:00:00
1354.80191084,166.333406733,Atalanta,0,2013-09-29T00:00:00
1437.65566457,155.527830421,Cagliari,1,2013-10-06T00:00:00
1390.94210985,145.169726442,AC Milan,0,2013-10-19T00:00:00
1386.47317226,143.947569653,AS Roma,0,2013-10-27T00:00:00
1427.38943876,135.342341305,Sassuolo,1,2013-10-30T00:00:00
1410.48059666,130.765107031,Internazionale,0,2013-11-03T00:00:00
1354.91602255,124.809259426,Catania,0,2013-11-09T00:00:00
