mu,sigma,opp,result,date
1662.30921255,290.31746003,Almeria,1,2013-08-19T00:00:00
1720.31516965,260.486532706,Real Valladolid,1,2013-08-24T00:00:00
1752.96421486,243.593892948,Osasuna,1,2013-08-31T00:00:00
1784.59318142,213.455330961,Real Madrid,0.5,2013-09-14T00:00:00
1726.68295328,197.370632478,Celta Vigo,0.5,2013-09-22T00:00:00
1812.43459581,177.569271387,Espanyol,1,2013-09-26T00:00:00
1679.46905594,170.729735712,Real Betis,0,2013-09-29T00:00:00
1713.50122181,159.498663792,Granada,1,2013-10-04T00:00:00
1631.17083699,149.446547017,Athletic Bilbao,0,2013-10-21T00:00:00
1656.80642792,141.850906016,Valencia,1,2013-10-27T00:00:00
1599.80523212,133.480156265,Getafe,0,2013-10-31T00:00:00
1630.40430473,126.729920153,Elche,1,2013-11-04T00:00:00
1655.44942104,123.231957632,Atletico Madrid,0.5,2013-11-10T00:00:00
