fullname,mu,sigma,opp,opp_rating,result,date,score
Aberdeen,1663.9182108,291.752894037,Kilmarnock,1336.0817892,1,2013-08-03T00:00:00,2-1
Aberdeen,1796.29195735,250.35836702,Motherwell,1531.54446425,1,2013-08-11T00:00:00,1-3
Aberdeen,1659.30098082,225.776213749,Celtic,1843.93528712,0,2013-08-17T00:00:00,0-2
Aberdeen,1524.40713891,205.334492296,Heart of Midlothian,1629.85955866,0,2013-08-24T00:00:00,2-1
Aberdeen,1509.10652819,188.805373889,St Johnstone,1463.8951798,0.5,2013-08-31T00:00:00,0-0
Aberdeen,1580.22094465,174.922972957,Partick Thistle,1413.89745252,1,2013-09-14T00:00:00,0-3
Aberdeen,1696.38554447,170.464678768,Inverness Caledonian Thistle,1740.63159526,1,2013-09-21T00:00:00,1-0
Aberdeen,1630.77340324,172.741867936,St Mirren,1194.43861425,0.5,2013-09-30T00:00:00,1-1
Aberdeen,1519.05786155,167.031814158,Ross County,1478.46430069,0,2013-10-05T00:00:00,1-0
Aberdeen,1590.01849425,158.069319957,Dundee United,1494.93333858,1,2013-10-19T00:00:00,1-0
Aberdeen,1642.96747251,151.170223312,Hibernian,1498.79006999,1,2013-10-26T00:00:00,0-2
Aberdeen,1669.57405915,148.802867693,Partick Thistle,1384.8028376,1,2013-11-04T00:00:00,4-0
Aberdeen,1562.50002795,150.932024851,Heart of Midlothian,1348.19244409,0,2013-11-09T00:00:00,1-3
Aberdeen,1527.32006633,147.004348538,Celtic,1748.13970139,0,2013-11-23T00:00:00,2-1
