fullname,mu,sigma,opp,opp_rating,result,date,score
AC Ajaccio,1336.0817892,291.752894037,St Etienne,1663.9182108,0,2013-08-11T00:00:00,0-1
AC Ajaccio,1381.56945149,254.327731323,Paris Saint-Germain,1454.51435014,0.5,2013-08-18T00:00:00,1-1
AC Ajaccio,1427.25420461,228.643368863,Nice,1522.03041633,0.5,2013-08-25T00:00:00,0-0
AC Ajaccio,1397.63862813,206.294850586,Sochaux,1325.36049527,0.5,2013-08-31T00:00:00,0-0
AC Ajaccio,1321.63967326,188.008632456,Evian Thonon Gaillard,1517.87926763,0,2013-09-14T00:00:00,2-3
AC Ajaccio,1279.09358614,177.634047408,Stade Rennes,1563.43592862,0,2013-09-21T00:00:00,2-0
AC Ajaccio,1387.21959648,168.890083609,Lyon,1392.03472577,1,2013-09-25T00:00:00,2-1
AC Ajaccio,1412.12587075,161.108531281,Montpellier,1518.34748835,0.5,2013-09-29T00:00:00,1-1
AC Ajaccio,1374.52474201,155.255612091,Lille,1611.64963535,0,2013-10-05T00:00:00,3-0
AC Ajaccio,1347.95500445,152.285258235,Nantes,1644.35985978,0,2013-10-19T00:00:00,0-1
AC Ajaccio,1317.12152277,148.662352811,Guingamp,1570.7877561,0,2013-10-26T00:00:00,2-1
AC Ajaccio,1244.86975644,145.017278596,Valenciennes,1262.25943711,0,2013-11-02T00:00:00,1-3
AC Ajaccio,1274.10899977,143.587553716,Toulouse,1448.34421531,0.5,2013-11-09T00:00:00,1-1
AC Ajaccio,1243.92091323,141.140136042,Marseille,1474.88251376,0,2013-11-22T00:00:00,1-3
