fullname,mu,sigma,opp,opp_rating,result,date,score
AC Milan,1500,350,PSV Eindhoven,-1,0.5,2013-08-20T00:00:00,1-1
AC Milan,1336.0817892,291.752894037,Hellas Verona,1663.9182108,0,2013-08-24T00:00:00,2-1
AC Milan,1336.0817892,291.752894037,PSV Eindhoven,-1,1,2013-08-28T00:00:00,3-0
AC Milan,1571.4871019,263.983836944,Cagliari,1428.5128981,1,2013-09-01T00:00:00,3-1
AC Milan,1534.84107528,233.221148091,Torino,1465.15892472,0.5,2013-09-14T00:00:00,2-2
AC Milan,1534.84107528,233.221148091,Celtic,-1,1,2013-09-18T00:00:00,2-0
AC Milan,1505.22275618,221.867083536,Napoli,1962.75504944,0,2013-09-22T00:00:00,1-2
AC Milan,1459.91177939,203.220467969,Bologna,1340.70302136,0.5,2013-09-25T00:00:00,3-3
AC Milan,1507.77830288,189.710307432,Sampdoria,1210.4378263,1,2013-09-28T00:00:00,1-0
AC Milan,1507.77830288,189.710307432,Ajax Amsterdam,-1,0.5,2013-10-01T00:00:00,1-1
AC Milan,1485.52733439,185.070902326,Juventus,1912.24705352,0,2013-10-06T00:00:00,3-2
AC Milan,1551.88170751,171.379457707,Udinese,1385.36682599,1,2013-10-19T00:00:00,1-0
AC Milan,1591.87241758,166.870172616,Barcelona,1775.19639154,0.5,2013-10-22T00:00:00,1-1
AC Milan,1504.6678375,159.389953063,Parma,1535.66802484,0,2013-10-27T00:00:00,3-2
AC Milan,1507.9840479,151.968903812,Lazio,1523.09817237,0.5,2013-10-30T00:00:00,1-1
AC Milan,1473.38000523,147.959562189,Fiorentina,1703.76577517,0,2013-11-02T00:00:00,0-2
AC Milan,1461.94147806,150.038981178,Barcelona,1921.69226041,0,2013-11-06T00:00:00,3-1
AC Milan,1430.23260836,148.246586026,Chievo Verona,1249.25628341,0.5,2013-11-10T00:00:00,0-0
AC Milan,1452.26389567,144.79765128,Genoa,1572.15620818,0.5,2013-11-23T00:00:00,1-1
