fullname,mu,sigma,opp,opp_rating,result,date,score
ADO Den Haag,1336.0817892,291.752894037,PSV Eindhoven,1663.9182108,0,2013-08-03T00:00:00,2-3
ADO Den Haag,1244.96326243,254.329313137,Go Ahead Eagles,1591.11498554,0,2013-08-10T00:00:00,2-1
ADO Den Haag,1400.83813983,226.928636654,NAC Breda,1253.02097574,1,2013-08-18T00:00:00,1-2
ADO Den Haag,1327.06635658,204.535618794,Roda JC Kerkrade,1581.10261841,0,2013-08-24T00:00:00,0-4
ADO Den Haag,1287.35070839,193.471091315,SC Heracles Almelo,1635.59952529,0,2013-08-31T00:00:00,1-0
ADO Den Haag,1291.49444378,178.203319855,NEC Nijmegen,1304.86826615,0.5,2013-09-21T00:00:00,1-1
ADO Den Haag,1256.29942775,170.55136542,Feyenoord Rotterdam,1553.96781128,0,2013-09-29T00:00:00,4-2
ADO Den Haag,1388.79180258,170.291973335,Vitesse Arnhem,1566.179607,1,2013-10-02T00:00:00,2-1
ADO Den Haag,1339.40506024,161.13686863,PEC Zwolle,1536.58685205,0,2013-10-20T00:00:00,6-1
ADO Den Haag,1453.04192104,159.564862719,Twente Enschede,1584.30461131,1,2013-10-26T00:00:00,3-2
ADO Den Haag,1416.20267647,153.863844759,AZ Alkmaar,1649.11678369,0,2013-11-02T00:00:00,2-0
ADO Den Haag,1477.55232119,147.489163278,Cambuur Leeuwarden,1391.61955236,1,2013-11-09T00:00:00,3-0
ADO Den Haag,1421.86901381,142.611111537,FC Utrecht,1512.89731084,0,2013-11-24T00:00:00,3-0
