fullname,mu,sigma,opp,opp_rating,result,date
Almeria,1336.0817892,291.752894037,Villarreal,1500,0,2013-08-19T00:00:00
Almeria,1336.0817892,250.354123746,Getafe,1336.0817892,0.5,2013-08-23T00:00:00
Almeria,1367.79696336,224.679556084,Elche,1473.32562178,0.5,2013-08-30T00:00:00
Almeria,1351.28382541,220.342564179,Atletico Madrid,1908.08014702,0,2013-09-14T00:00:00
Almeria,1394.35931934,201.918565299,Levante,1546.38524792,0.5,2013-09-21T00:00:00
Almeria,1324.47164507,184.705496131,Malaga,1462.25893018,0,2013-09-24T00:00:00
Almeria,1314.03347264,185.13413956,Barcelona,1882.77740491,0,2013-09-28T00:00:00
Almeria,1255.45658265,171.799746418,Sevilla FC,1402.91771083,0,2013-10-06T00:00:00
Almeria,1189.88878561,161.755821356,Rayo Vallecano,1257.38218152,0,2013-10-20T00:00:00
Almeria,1160.48206736,157.168834285,Real Sociedad,1423.44787504,0,2013-10-27T00:00:00
Almeria,1252.35268181,153.049000262,Valencia,1374.46113187,1,2013-10-30T00:00:00
Almeria,1341.18955417,149.920466932,Real Valladolid,1472.38636984,1,2013-11-02T00:00:00
Almeria,1398.36691309,144.687109479,Osasuna,1361.81112119,1,2013-11-08T00:00:00
