fullname,mu,sigma,opp,opp_rating,result,date,score
Arsenal,1336.0817892,291.752894037,Aston Villa,1663.9182108,0,2013-08-17T00:00:00,1-3
Arsenal,1336.0817892,291.752894037,Fenerbahce,-1,1,2013-08-21T00:00:00,0-3
Arsenal,1571.4871019,263.983836944,Fulham,1428.5128981,1,2013-08-24T00:00:00,1-3
Arsenal,1571.4871019,263.983836944,Fenerbahce,-1,1,2013-08-27T00:00:00,2-0
Arsenal,1730.59811112,233.554577634,Tottenham Hotspur,1563.78113697,1,2013-09-01T00:00:00,1-0
Arsenal,1752.98472974,226.210829556,Sunderland,1218.62128631,1,2013-09-14T00:00:00,1-3
Arsenal,1817.93775914,204.305364443,Marseille,1544.17682386,1,2013-09-18T00:00:00,1-2
Arsenal,1863.06184132,191.06603934,Stoke City,1552.71049163,1,2013-09-22T00:00:00,3-1
Arsenal,1899.20500615,181.877557195,Swansea City,1571.92229838,1,2013-09-28T00:00:00,1-2
Arsenal,1967.32236814,170.213576902,Napoli,1805.84000588,1,2013-10-01T00:00:00,2-0
Arsenal,1905.35281124,171.081878987,West Bromwich Albion,1537.8682356,0.5,2013-10-06T00:00:00,1-1
Arsenal,1916.24217551,171.924431822,Norwich City,1391.43730145,1,2013-10-19T00:00:00,4-1
Arsenal,1815.45830705,164.313116176,Borussia Dortmund,1813.42628675,0,2013-10-22T00:00:00,1-2
Arsenal,1820.58841169,167.822136056,Crystal Palace,1160.2182681,1,2013-10-26T00:00:00,0-2
Arsenal,1862.59390282,160.32128627,Liverpool,1631.58282066,1,2013-11-02T00:00:00,2-0
Arsenal,1921.59223136,152.572331469,Borussia Dortmund,1800.03273928,1,2013-11-06T00:00:00,0-1
Arsenal,1824.04514577,151.15611943,Manchester United,1723.95864395,0,2013-11-10T00:00:00,1-0
