fullname,mu,sigma,opp,opp_rating,result,date
AS Monaco,1663.9182108,291.752894037,Bordeaux,1500,1,2013-08-10T00:00:00
AS Monaco,1755.03673757,254.329313137,Montpellier,1500.0,1,2013-08-18T00:00:00
AS Monaco,1659.2542195,240.131472868,Toulouse,1336.0817892,0.5,2013-08-23T00:00:00
AS Monaco,1800.05231213,215.298099405,Marseille,1801.86461644,1,2013-09-01T00:00:00
AS Monaco,1835.0349948,203.993050466,Lorient,1476.69326257,1,2013-09-15T00:00:00
AS Monaco,1803.40896613,188.095644352,Paris Saint-Germain,1680.6974647,0.5,2013-09-22T00:00:00
AS Monaco,1831.56181017,181.359934277,Bastia,1488.13381014,1,2013-09-25T00:00:00
AS Monaco,1781.60028135,175.496335109,Stade de Reims,1527.01721123,0.5,2013-09-29T00:00:00
AS Monaco,1804.24067348,171.64113305,St Etienne,1442.48367828,1,2013-10-05T00:00:00
AS Monaco,1733.01792044,173.950269459,Sochaux,1209.88022992,0.5,2013-10-20T00:00:00
AS Monaco,1754.16359078,170.448668392,Lyon,1385.07288827,1,2013-10-27T00:00:00
AS Monaco,1680.4531803,159.909980552,Lille,1714.79975938,0,2013-11-03T00:00:00
AS Monaco,1648.51207436,155.040788064,Evian Thonon Gaillard,1468.78199726,0.5,2013-11-08T00:00:00
