mu,sigma,opp,opp_rating,result,date
1663.9182108,291.752894037,Arsenal,1500,1,2013-08-17T00:00:00
1531.54446425,250.35836702,Chelsea,1663.9182108,0,2013-08-21T00:00:00
1453.23068072,225.768799096,Liverpool,1663.9182108,0,2013-08-24T00:00:00
1376.51834461,203.72136616,Newcastle United,1542.48745259,0,2013-09-14T00:00:00
1467.31074685,186.388524187,Norwich City,1412.99494588,1,2013-09-21T00:00:00
1585.7565584,177.563599673,Manchester City,1702.88870733,1,2013-09-28T00:00:00
1587.12867605,166.242136896,Hull City,1593.69749997,0.5,2013-10-05T00:00:00
1520.7789638,157.73391574,Tottenham Hotspur,1563.40886368,0,2013-10-20T00:00:00
1485.48127888,152.818214462,Everton,1690.56498909,0,2013-10-26T00:00:00
1478.64385845,147.219991671,West Ham United,1437.30901684,0.5,2013-11-02T00:00:00
1529.14863096,142.536428958,Cardiff City,1462.19350543,1,2013-11-09T00:00:00
