fullname,mu,sigma,opp,opp_rating,result,date,score
Atalanta,1336.0817892,291.752894037,Cagliari,1663.9182108,0,2013-08-25T00:00:00,2-1
Atalanta,1571.4871019,263.983836944,Torino,1428.5128981,1,2013-09-01T00:00:00,2-0
Atalanta,1496.45672163,234.232702378,Napoli,1825.89922554,0,2013-09-14T00:00:00,2-0
Atalanta,1432.08341026,212.332832715,Fiorentina,1734.92528122,0,2013-09-22T00:00:00,0-2
Atalanta,1308.12019953,195.497260543,Parma,1398.19491893,0,2013-09-25T00:00:00,4-3
Atalanta,1416.14160272,181.481672117,Udinese,1344.90206399,1,2013-09-29T00:00:00,2-0
Atalanta,1468.23019666,170.559540372,Chievo Verona,1246.75605854,1,2013-10-05T00:00:00,0-1
Atalanta,1547.63052219,161.551600654,Lazio,1469.49539327,1,2013-10-20T00:00:00,2-1
Atalanta,1467.62613627,155.53379311,Sampdoria,1510.71658734,0,2013-10-26T00:00:00,1-0
Atalanta,1506.18855029,153.886754555,Internazionale,1719.59320266,0.5,2013-10-29T00:00:00,1-1
Atalanta,1419.00530969,150.454176091,Livorno,1386.48023377,0,2013-11-03T00:00:00,1-0
Atalanta,1468.69600424,145.252817567,Bologna,1333.01363319,1,2013-11-10T00:00:00,2-1
Atalanta,1413.28349207,141.334092843,Sassuolo,1502.18385194,0,2013-11-24T00:00:00,2-0
