fullname,mu,sigma,opp,opp_rating,result,date,score
Athletic Bilbao,1663.9182108,291.752894037,Real Valladolid,1336.0817892,1,2013-08-17T00:00:00,1-2
Athletic Bilbao,1722.85508374,263.968963767,Osasuna,1277.14491626,1,2013-08-23T00:00:00,2-0
Athletic Bilbao,1623.26313715,229.921840846,Real Madrid,1887.82685719,0,2013-09-01T00:00:00,3-1
Athletic Bilbao,1711.344331,205.359171354,Celta Vigo,1492.01497725,1,2013-09-16T00:00:00,3-2
Athletic Bilbao,1621.11105312,187.750703055,Espanyol,1776.52617966,0,2013-09-23T00:00:00,3-2
Athletic Bilbao,1668.03480269,176.122049821,Real Betis,1410.9210941,1,2013-09-26T00:00:00,2-1
Athletic Bilbao,1546.24364178,171.184211885,Granada,1480.97517656,0,2013-09-30T00:00:00,2-0
Athletic Bilbao,1531.86202984,161.65986158,Valencia,1473.61881794,0.5,2013-10-06T00:00:00,1-1
Athletic Bilbao,1619.84112586,156.404397685,Villarreal,1612.2901747,1,2013-10-21T00:00:00,2-0
Athletic Bilbao,1684.08660154,150.014107433,Getafe,1596.89467954,1,2013-10-28T00:00:00,0-1
Athletic Bilbao,1656.29286265,147.428862634,Elche,1503.17854295,0.5,2013-10-31T00:00:00,2-2
Athletic Bilbao,1631.00539918,146.130710786,Atletico Madrid,1926.52174414,0,2013-11-03T00:00:00,2-0
Athletic Bilbao,1667.89664957,142.49606617,Levante,1474.03671124,1,2013-11-09T00:00:00,2-1
Athletic Bilbao,1686.84409487,142.708208893,Malaga,1355.94804775,1,2013-11-25T00:00:00,1-2
