mu,sigma,opp,opp_rating,result,date
1663.9182108,291.752894037,Sevilla FC,1500,1,2013-08-18T00:00:00
1796.29195735,250.35836702,Rayo Vallecano,1663.9182108,1,2013-08-25T00:00:00
1908.08014702,217.544913365,Real Sociedad,1794.00021019,1,2013-09-01T00:00:00
1923.8939581,214.07019375,Almeria,1367.79696336,1,2013-09-14T00:00:00
1940.88594872,210.0215373,Real Valladolid,1416.85661183,1,2013-09-21T00:00:00
1949.59851585,210.070775135,Osasuna,1287.13564692,1,2013-09-24T00:00:00
2023.9445436,190.788374534,Real Madrid,1884.02043286,1,2013-09-28T00:00:00
2029.22907333,193.075805597,Celta Vigo,1321.80922108,1,2013-10-06T00:00:00
1850.58654193,192.739910328,Espanyol,1478.98866626,0,2013-10-19T00:00:00
1868.52264767,189.134562265,Real Betis,1419.52597097,1,2013-10-27T00:00:00
1890.12916631,184.290759766,Granada,1489.28032427,1,2013-10-31T00:00:00
1926.51975099,174.93844858,Athletic Bilbao,1656.27759253,1,2013-11-03T00:00:00
1876.87858905,169.943362087,Villarreal,1623.30045051,0.5,2013-11-10T00:00:00
