fullname,mu,sigma,opp,opp_rating,result,date,score
AZ Alkmaar,1336.0817892,291.752894037,Heerenveen,1663.9182108,0,2013-08-03T00:00:00,4-2
AZ Alkmaar,1571.4871019,263.983836944,Ajax Amsterdam,1428.5128981,1,2013-08-11T00:00:00,3-2
AZ Alkmaar,1720.4087741,231.307652365,RKC Waalwijk,1542.67218599,1,2013-08-17T00:00:00,1-2
AZ Alkmaar,1720.4087741,231.307652365,Atromitos,-1,1,2013-08-22T00:00:00,1-3
AZ Alkmaar,1527.58780887,219.672985816,FC Utrecht,1524.20175413,0,2013-08-25T00:00:00,2-0
AZ Alkmaar,1527.58780887,219.672985816,Atromitos,-1,0,2013-08-30T00:00:00,0-2
AZ Alkmaar,1549.58602011,198.212876445,Vitesse Arnhem,1606.39407978,0.5,2013-09-01T00:00:00,1-1
AZ Alkmaar,1639.48742472,181.539277009,Go Ahead Eagles,1509.82617038,1,2013-09-15T00:00:00,3-0
AZ Alkmaar,1639.48742472,181.539277009,Maccabi Haifa,-1,1,2013-09-19T00:00:00,0-1
AZ Alkmaar,1507.57311507,176.982258806,NAC Breda,1432.02797668,0,2013-09-22T00:00:00,3-0
AZ Alkmaar,1600.47541655,166.566778826,PSV Eindhoven,1552.90926631,1,2013-09-28T00:00:00,2-1
AZ Alkmaar,1600.47541655,166.566778826,PAOK Salonika,-1,0.5,2013-10-03T00:00:00,1-1
AZ Alkmaar,1510.88706272,159.355356909,FC Groningen,1530.17217797,0,2013-10-06T00:00:00,2-1
AZ Alkmaar,1565.67892466,152.116818288,Cambuur Leeuwarden,1426.47635512,1,2013-10-20T00:00:00,3-1
AZ Alkmaar,1565.67892466,152.116818288,Shakhter Karagandy,-1,0.5,2013-10-24T00:00:00,1-1
AZ Alkmaar,1617.07661434,146.597173448,PEC Zwolle,1484.21038549,1,2013-10-27T00:00:00,0-2
AZ Alkmaar,1649.11678369,143.96320898,ADO Den Haag,1416.20267647,1,2013-11-02T00:00:00,2-0
AZ Alkmaar,1649.11678369,143.96320898,Shakhter Karagandy,-1,1,2013-11-07T00:00:00,1-0
AZ Alkmaar,1638.07091297,140.43649962,Feyenoord Rotterdam,1577.14936562,0.5,2013-11-10T00:00:00,2-2
AZ Alkmaar,1615.74355952,138.934528872,Roda JC Kerkrade,1480.80959012,0.5,2013-11-23T00:00:00,2-2
