fullname,mu,sigma,opp,opp_rating,result,date
Bayern Munich,1663.9182108,291.752894037,Borussia Monchengladbach,1500,1,2013-08-09T00:00:00
Bayern Munich,1722.85508374,263.968963767,Eintracht Frankfurt,1336.0817892,1,2013-08-17T00:00:00
Bayern Munich,1799.12973471,233.915906526,Nurnberg,1545.48564986,1,2013-08-24T00:00:00
Bayern Munich,1712.70575944,224.202244532,SC Freiburg,1366.19268493,0.5,2013-08-27T00:00:00
Bayern Munich,1802.27383148,200.756132116,Hannover 96,1685.04132669,1,2013-09-14T00:00:00
Bayern Munich,1846.32451399,188.395098069,Schalke 04,1582.34393226,1,2013-09-21T00:00:00
Bayern Munich,1881.20152155,179.556038636,VfL Wolfsburg,1588.92378115,1,2013-09-28T00:00:00
Bayern Munich,1908.72189755,173.967020386,Manchester City,1580.42920628,1,2013-10-02T00:00:00
Bayern Munich,1882.82745763,164.747196421,Bayer Leverkusen,1757.38518599,0.5,2013-10-05T00:00:00
Bayern Munich,1892.17373046,166.425849514,Mainz,1364.99336456,1,2013-10-19T00:00:00
Bayern Munich,1914.23931829,163.444024345,Hertha Berlin,1571.06924593,1,2013-10-26T00:00:00
Bayern Munich,1928.35943694,163.3717711,TSG Hoffenheim,1493.8072272,1,2013-11-02T00:00:00
Bayern Munich,1938.36401709,164.761797062,FC Augsburg,1434.63515508,1,2013-11-09T00:00:00
