fullname,mu,sigma,opp,opp_rating,result,date
Bologna,1336.0817892,291.752894037,Napoli,1500,0,2013-08-25T00:00:00
Bologna,1336.0817892,250.354123746,Sampdoria,1336.0817892,0.5,2013-09-01T00:00:00
Bologna,1379.90977944,224.972641453,Udinese,1518.1858456,0.5,2013-09-15T00:00:00
Bologna,1302.93516695,203.26629949,Torino,1465.15892472,0,2013-09-22T00:00:00
Bologna,1340.70302136,190.317058281,AC Milan,1505.22275618,0.5,2013-09-25T00:00:00
Bologna,1329.17567662,190.101853161,AS Roma,1894.6846556,0,2013-09-29T00:00:00
Bologna,1294.92645151,181.168676328,Hellas Verona,1595.67862561,0,2013-10-06T00:00:00
Bologna,1220.3986766,169.458040351,Sassuolo,1270.94072848,0,2013-10-20T00:00:00
Bologna,1301.91019511,160.441056929,Livorno,1316.32084025,1,2013-10-27T00:00:00
Bologna,1376.78805652,153.484590732,Cagliari,1396.16990354,1,2013-10-30T00:00:00
Bologna,1350.44263008,150.095108852,Chievo Verona,1179.44067795,0.5,2013-11-04T00:00:00
Bologna,1303.64376572,144.926795365,Atalanta,1405.30013146,0,2013-11-10T00:00:00
