fullname,mu,sigma,opp,opp_rating,result,date,score
Cagliari,1663.9182108,291.752894037,Atalanta,1336.0817892,1,2013-08-25T00:00:00,2-1
Cagliari,1428.5128981,263.983836944,AC Milan,1571.4871019,0,2013-09-01T00:00:00,3-1
Cagliari,1501.57972698,240.771676545,Fiorentina,1649.80742919,0.5,2013-09-15T00:00:00,1-1
Cagliari,1433.18140538,221.888584656,Sampdoria,1270.63810493,0.5,2013-09-21T00:00:00,2-2
Cagliari,1450.4578513,199.203034251,Livorno,1494.0648849,0.5,2013-09-25T00:00:00,1-1
Cagliari,1517.9374234,193.585802262,Internazionale,1776.30017379,0.5,2013-09-29T00:00:00,1-1
Cagliari,1402.45890912,180.651536236,Udinese,1442.14334739,0,2013-10-06T00:00:00,2-0
Cagliari,1460.10325319,168.88455069,Catania,1268.6596304,1,2013-10-19T00:00:00,2-1
Cagliari,1396.16990354,159.329060122,Lazio,1526.29677508,0,2013-10-27T00:00:00,2-0
Cagliari,1322.16287636,152.71821691,Bologna,1376.78805652,0,2013-10-30T00:00:00,0-3
Cagliari,1303.57442224,152.136426401,Hellas Verona,1667.2072512,0,2013-11-03T00:00:00,2-1
Cagliari,1386.84669251,149.039371705,Torino,1406.9318873,1,2013-11-10T00:00:00,2-1
