fullname,mu,sigma,opp,opp_rating,result,date,score
Cambuur Leeuwarden,1500.0,291.750423517,NAC Breda,1500.0,0.5,2013-08-04T00:00:00,0-0
Cambuur Leeuwarden,1317.90354253,254.330954643,Roda JC Kerkrade,1518.1858456,0,2013-08-09T00:00:00,2-0
Cambuur Leeuwarden,1546.2172326,241.171836465,FC Groningen,1526.73460718,1,2013-08-17T00:00:00,4-1
Cambuur Leeuwarden,1485.52014692,219.541675851,PEC Zwolle,1820.46561237,0,2013-08-24T00:00:00,2-0
Cambuur Leeuwarden,1508.96784391,197.638547571,PSV Eindhoven,1569.32895775,0.5,2013-08-31T00:00:00,0-0
Cambuur Leeuwarden,1613.6408516,183.583214071,SC Heracles Almelo,1519.82841188,1,2013-09-14T00:00:00,2-0
Cambuur Leeuwarden,1594.6980307,171.411709986,Go Ahead Eagles,1526.81791453,0.5,2013-09-20T00:00:00,0-0
Cambuur Leeuwarden,1521.56797115,161.641076992,Heerenveen,1625.46113929,0,2013-09-29T00:00:00,2-1
Cambuur Leeuwarden,1478.53189894,154.798523223,Twente Enschede,1683.86293175,0,2013-10-04T00:00:00,0-1
Cambuur Leeuwarden,1426.47635512,148.659744863,AZ Alkmaar,1565.67892466,0,2013-10-20T00:00:00,3-1
Cambuur Leeuwarden,1491.90969887,144.211053355,FC Utrecht,1442.02546191,1,2013-10-26T00:00:00,3-1
Cambuur Leeuwarden,1443.83868109,140.244404949,Feyenoord Rotterdam,1566.12597731,0,2013-11-03T00:00:00,0-2
Cambuur Leeuwarden,1391.61955236,137.279402888,ADO Den Haag,1477.55232119,0,2013-11-09T00:00:00,3-0
Cambuur Leeuwarden,1436.62072151,134.811522457,NEC Nijmegen,1321.47276091,1,2013-11-23T00:00:00,2-1
