mu,sigma,opp,opp_rating,result,date
1336.0817892,291.752894037,Fiorentina,1500,0,2013-08-26T00:00:00
1277.14491626,263.968963767,Internazionale,1663.9182108,0,2013-09-01T00:00:00
1203.68921235,234.306748968,Livorno,1468.45553575,0,2013-09-15T00:00:00
1223.31260505,210.304971278,Parma,1290.2505875,0.5,2013-09-22T00:00:00
1191.32186194,200.406545606,Lazio,1559.34912979,0,2013-09-25T00:00:00
1323.48602436,188.623318955,Chievo Verona,1429.41435824,1,2013-09-29T00:00:00
1323.09073861,174.624401082,Genoa,1321.3574227,0.5,2013-10-06T00:00:00
1268.6596304,164.62242315,Cagliari,1402.45890912,0,2013-10-19T00:00:00
1281.79809546,157.078184628,Sassuolo,1354.77565854,0.5,2013-10-27T00:00:00
1270.54339718,158.553171576,Juventus,1740.94617853,0,2013-10-30T00:00:00
1264.76667017,161.926134081,Napoli,1872.83292843,0,2013-11-02T00:00:00
1349.79321307,155.350767815,Udinese,1411.04075069,1,2013-11-09T00:00:00
