fullname,mu,sigma,opp,opp_rating,result,date,score
Celta Vigo,1500.0,291.750423517,Espanyol,1500.0,0.5,2013-08-19T00:00:00,2-2
Celta Vigo,1591.11498554,254.324638642,Real Betis,1244.96326243,1,2013-08-25T00:00:00,1-2
Celta Vigo,1576.08985624,223.530963712,Granada,1546.09284501,0.5,2013-08-31T00:00:00,1-1
Celta Vigo,1492.01497725,201.482924601,Athletic Bilbao,1711.344331,0,2013-09-16T00:00:00,3-2
Celta Vigo,1544.95960168,192.220707431,Villarreal,1726.72079191,0.5,2013-09-22T00:00:00,0-0
Celta Vigo,1420.40247676,182.694797298,Getafe,1433.26276327,0,2013-09-26T00:00:00,2-0
Celta Vigo,1321.80922108,172.765366687,Elche,1382.09115073,0,2013-09-29T00:00:00,0-1
Celta Vigo,1317.14236899,176.136683872,Atletico Madrid,2029.22907333,0,2013-10-06T00:00:00,2-1
Celta Vigo,1276.78312684,167.500154652,Levante,1536.98643538,0,2013-10-21T00:00:00,0-1
Celta Vigo,1359.70449411,159.326069446,Malaga,1309.38760165,1,2013-10-26T00:00:00,0-5
Celta Vigo,1350.73508894,161.606541889,Barcelona,1889.00652018,0,2013-10-29T00:00:00,0-3
Celta Vigo,1433.81015924,154.694208108,Sevilla FC,1412.59507122,1,2013-11-02T00:00:00,0-1
Celta Vigo,1346.2682959,151.064771771,Rayo Vallecano,1316.54420347,0,2013-11-09T00:00:00,0-2
