fullname,mu,sigma,opp,opp_rating,result,date,score
Celtic,1500,350,Cliftonville,-1,1,2013-07-17T00:00:00,0-3
Celtic,1500,350,Cliftonville,-1,1,2013-07-23T00:00:00,2-0
Celtic,1500,350,Elfsborg,-1,1,2013-07-31T00:00:00,1-0
Celtic,1663.9182108,291.752894037,Ross County,1336.0817892,1,2013-08-03T00:00:00,2-1
Celtic,1663.9182108,291.752894037,Elfsborg,-1,0.5,2013-08-07T00:00:00,0-0
Celtic,1843.93528712,248.871627808,Aberdeen,1659.30098082,1,2013-08-17T00:00:00,0-2
Celtic,1843.93528712,248.871627808,Shakhter Karagandy,-1,0,2013-08-20T00:00:00,2-0
Celtic,1837.39996347,217.877545693,Inverness Caledonian Thistle,1824.01421262,0.5,2013-08-24T00:00:00,2-2
Celtic,1837.39996347,217.877545693,Shakhter Karagandy,-1,1,2013-08-28T00:00:00,3-0
Celtic,1873.39812689,205.854342227,Dundee United,1482.1958917,1,2013-08-31T00:00:00,0-1
Celtic,1909.17907837,194.759123827,Heart of Midlothian,1549.62055957,1,2013-09-14T00:00:00,1-3
Celtic,1790.29069995,183.39672376,AC Milan,1831.81699936,0,2013-09-18T00:00:00,2-0
Celtic,1807.66049307,181.018762058,St Johnstone,1345.58166274,1,2013-09-21T00:00:00,2-1
Celtic,1817.90559508,181.642182157,Kilmarnock,1250.9005747,1,2013-09-28T00:00:00,2-5
Celtic,1765.79320485,170.845167751,Barcelona,1989.42707758,0,2013-10-01T00:00:00,0-1
Celtic,1814.23243566,161.893136928,Motherwell,1608.3662517,1,2013-10-05T00:00:00,2-0
Celtic,1771.46843417,159.298763423,Hibernian,1550.3728731,0.5,2013-10-19T00:00:00,1-1
Celtic,1813.11497235,152.668850079,Ajax Amsterdam,1611.12791642,1,2013-10-22T00:00:00,2-1
Celtic,1827.56565459,153.298979201,Partick Thistle,1411.8500921,1,2013-10-27T00:00:00,1-2
Celtic,1789.73779085,151.592692521,Dundee United,1576.92252107,0.5,2013-11-02T00:00:00,1-1
Celtic,1694.6994734,149.726553803,Ajax Amsterdam,1601.54519742,0,2013-11-06T00:00:00,1-0
Celtic,1713.6646384,149.353432269,Ross County,1359.06173641,1,2013-11-09T00:00:00,1-4
Celtic,1748.13970139,145.589331332,Aberdeen,1527.32006633,1,2013-11-23T00:00:00,2-1
