fullname,mu,sigma,opp,opp_rating,result,date,score
Chievo Verona,1500.0,291.750423517,Parma,1500.0,0.5,2013-08-25T00:00:00,0-0
Chievo Verona,1408.88501446,254.324638642,Napoli,1755.03673757,0,2013-08-31T00:00:00,2-4
Chievo Verona,1325.47734903,225.107223749,Lazio,1612.92275781,0,2013-09-15T00:00:00,3-0
Chievo Verona,1455.565314,204.642163222,Udinese,1340.29825278,1,2013-09-21T00:00:00,2-1
Chievo Verona,1430.01464425,197.684159356,Juventus,1864.67854685,0,2013-09-25T00:00:00,1-2
Chievo Verona,1301.31233402,186.651836774,Catania,1324.13513608,0,2013-09-29T00:00:00,2-0
Chievo Verona,1246.75605854,174.157085985,Atalanta,1468.23019666,0,2013-10-05T00:00:00,0-1
Chievo Verona,1192.02728937,164.098040221,Genoa,1379.41043232,0,2013-10-20T00:00:00,2-1
Chievo Verona,1182.91129689,166.004895507,Fiorentina,1726.25925027,0,2013-10-27T00:00:00,1-2
Chievo Verona,1181.00865608,170.752919301,AS Roma,2051.49121243,0,2013-10-31T00:00:00,1-0
Chievo Verona,1218.73948093,164.519034199,Bologna,1383.88110558,0.5,2013-11-04T00:00:00,0-0
Chievo Verona,1268.52157602,162.540959092,AC Milan,1527.56309818,0.5,2013-11-10T00:00:00,0-0
Chievo Verona,1385.12782249,160.999607166,Hellas Verona,1523.45746618,1,2013-11-23T00:00:00,0-1
