fullname,mu,sigma,opp,opp_rating,result,date,score
Crystal Palace,1336.0817892,291.752894037,Tottenham Hotspur,1663.9182108,0,2013-08-18T00:00:00,0-1
Crystal Palace,1203.70804265,250.35836702,Stoke City,1468.45553575,0,2013-08-24T00:00:00,2-1
Crystal Palace,1369.11248516,227.257543843,Sunderland,1241.30794981,1,2013-08-31T00:00:00,3-1
Crystal Palace,1318.71432336,209.505296739,Manchester United,1657.41429273,0,2013-09-14T00:00:00,2-0
Crystal Palace,1275.71845643,196.104682986,Swansea City,1608.26745531,0,2013-09-22T00:00:00,0-2
Crystal Palace,1241.9461124,187.234332271,Southampton,1599.17264981,0,2013-09-28T00:00:00,2-0
Crystal Palace,1219.86873969,183.048779554,Liverpool,1647.79559525,0,2013-10-05T00:00:00,3-1
Crystal Palace,1165.63164975,171.076480153,Fulham,1377.35340451,0,2013-10-21T00:00:00,1-4
Crystal Palace,1160.2182681,174.077952538,Arsenal,1820.58841169,0,2013-10-26T00:00:00,0-2
Crystal Palace,1133.61492144,169.075233321,West Bromwich Albion,1478.12158077,0,2013-11-02T00:00:00,2-0
Crystal Palace,1203.13504039,171.503121757,Everton,1666.69408236,0.5,2013-11-09T00:00:00,0-0
Crystal Palace,1319.35448936,166.177404521,Hull City,1390.14798396,1,2013-11-23T00:00:00,0-1
