fullname,mu,sigma,opp,opp_rating,result,date,score
Dundee United,1500.0,291.750423517,Partick Thistle,1500.0,0.5,2013-08-02T00:00:00,0-0
Dundee United,1408.88501446,254.324638642,Inverness Caledonian Thistle,1755.03673757,0,2013-08-10T00:00:00,0-1
Dundee United,1358.06366078,228.480812486,Hibernian,1252.85991286,0.5,2013-08-17T00:00:00,1-1
Dundee United,1516.82636018,212.428989141,St Johnstone,1445.94571315,1,2013-08-24T00:00:00,4-0
Dundee United,1482.1958917,201.701677693,Celtic,1873.39812689,0,2013-08-31T00:00:00,0-1
Dundee United,1540.1262893,185.984555902,Ross County,1294.18013843,1,2013-09-15T00:00:00,2-4
Dundee United,1557.45333558,173.712681235,Motherwell,1618.51226461,0.5,2013-09-22T00:00:00,2-2
Dundee United,1536.36698213,164.52307557,Heart of Midlothian,1451.67120547,0.5,2013-09-28T00:00:00,0-0
Dundee United,1561.57570256,161.300569406,Kilmarnock,1220.03120131,1,2013-10-05T00:00:00,1-0
Dundee United,1494.93333858,153.811619802,Aberdeen,1590.01849425,0,2013-10-19T00:00:00,1-0
Dundee United,1541.46874989,148.374139161,St Mirren,1373.57690021,1,2013-10-26T00:00:00,4-0
Dundee United,1576.92252107,147.523918681,Celtic,1789.73779085,0.5,2013-11-02T00:00:00,1-1
Dundee United,1631.93572141,142.6664807,Motherwell,1535.99188799,1,2013-11-09T00:00:00,0-4
Dundee United,1650.16384622,142.97543887,Partick Thistle,1310.7204726,1,2013-11-23T00:00:00,4-1
