fullname,mu,sigma,opp,opp_rating,result,date,score
Elche,1336.0817892,291.752894037,Rayo Vallecano,1663.9182108,0,2013-08-19T00:00:00,3-0
Elche,1473.32562178,274.323476407,Real Sociedad,1735.41934945,0.5,2013-08-24T00:00:00,1-1
Elche,1434.91218977,238.457386584,Almeria,1367.79696336,0.5,2013-08-30T00:00:00,2-2
Elche,1429.30771778,211.192522432,Real Valladolid,1416.85661183,0.5,2013-09-16T00:00:00,0-0
Elche,1275.80492998,200.113154831,Osasuna,1287.13564692,0,2013-09-20T00:00:00,2-1
Elche,1265.68394009,199.953232492,Real Madrid,1884.02043286,0,2013-09-25T00:00:00,1-2
Elche,1382.09115073,184.914088341,Celta Vigo,1321.80922108,1,2013-09-29T00:00:00,0-1
Elche,1494.39393948,174.708791451,Espanyol,1478.98866626,1,2013-10-05T00:00:00,2-1
Elche,1559.64616189,163.459121907,Real Betis,1419.52597097,1,2013-10-20T00:00:00,1-2
Elche,1472.85566811,156.786844847,Granada,1489.28032427,0,2013-10-26T00:00:00,0-1
Elche,1503.17854295,152.806256258,Athletic Bilbao,1656.29286265,0.5,2013-10-31T00:00:00,2-2
Elche,1457.73387395,147.318541363,Villarreal,1623.37071818,0,2013-11-04T00:00:00,0-1
Elche,1471.51951444,143.274469119,Getafe,1545.09784733,0.5,2013-11-09T00:00:00,1-1
Elche,1512.13684295,139.749251654,Valencia,1351.16979162,1,2013-11-24T00:00:00,2-1
