fullname,mu,sigma,opp,opp_rating,result,date,score
Evian Thonon Gaillard,1500.0,291.750423517,Sochaux,1500.0,0.5,2013-08-10T00:00:00,1-1
Evian Thonon Gaillard,1408.88501446,254.324638642,Marseille,1755.03673757,0,2013-08-17T00:00:00,2-0
Evian Thonon Gaillard,1302.7264041,224.262400212,Stade Rennes,1541.34763407,0,2013-08-24T00:00:00,1-2
Evian Thonon Gaillard,1443.80909387,203.116219291,Lyon,1365.4395117,1,2013-08-31T00:00:00,2-1
Evian Thonon Gaillard,1517.87926763,185.982689124,AC Ajaccio,1321.63967326,1,2013-09-14T00:00:00,2-3
Evian Thonon Gaillard,1522.18864884,172.65450497,Montpellier,1537.13314687,0.5,2013-09-21T00:00:00,2-2
Evian Thonon Gaillard,1458.85081147,162.775928204,Lille,1608.17865288,0,2013-09-24T00:00:00,3-0
Evian Thonon Gaillard,1444.9243434,155.317203569,Bordeaux,1382.86498106,0.5,2013-09-28T00:00:00,1-1
Evian Thonon Gaillard,1405.77741515,150.15121764,Nantes,1617.51580617,0,2013-10-05T00:00:00,3-0
Evian Thonon Gaillard,1363.73657384,145.398290159,Guingamp,1540.91402683,0,2013-10-19T00:00:00,1-2
Evian Thonon Gaillard,1397.58789517,142.611283404,Valenciennes,1178.75934162,1,2013-10-26T00:00:00,0-1
Evian Thonon Gaillard,1468.78199726,140.346182566,Toulouse,1478.28782783,1,2013-11-02T00:00:00,2-1
Evian Thonon Gaillard,1493.5312766,139.506401207,AS Monaco,1648.51207436,0.5,2013-11-08T00:00:00,1-1
