fullname,mu,sigma,opp,opp_rating,result,date,score
FC Groningen,1663.9182108,291.752894037,NEC Nijmegen,1336.0817892,1,2013-08-03T00:00:00,1-4
FC Groningen,1755.03673757,254.329313137,FC Utrecht,1408.88501446,1,2013-08-11T00:00:00,2-0
FC Groningen,1526.73460718,241.16611242,Cambuur Leeuwarden,1546.2172326,0,2013-08-17T00:00:00,4-1
FC Groningen,1522.59565576,212.685283872,Go Ahead Eagles,1513.61755356,0.5,2013-08-25T00:00:00,3-3
FC Groningen,1519.43988844,192.585603842,Ajax Amsterdam,1510.84047491,0.5,2013-09-01T00:00:00,1-1
FC Groningen,1441.90965793,177.692625444,Heerenveen,1597.16890764,0,2013-09-15T00:00:00,4-2
FC Groningen,1496.60142573,167.035974595,RKC Waalwijk,1298.25944525,1,2013-09-21T00:00:00,4-1
FC Groningen,1448.26158748,158.720960989,Twente Enschede,1642.95565137,0,2013-09-29T00:00:00,5-0
FC Groningen,1530.17217797,153.339607716,AZ Alkmaar,1510.88706272,1,2013-10-06T00:00:00,2-1
FC Groningen,1592.88808004,147.442072937,PSV Eindhoven,1512.0872714,1,2013-10-20T00:00:00,1-0
FC Groningen,1590.95280517,142.837899989,Vitesse Arnhem,1580.79068397,0.5,2013-10-27T00:00:00,2-2
FC Groningen,1580.08118123,139.506710253,Roda JC Kerkrade,1518.96156073,0.5,2013-11-03T00:00:00,3-3
FC Groningen,1616.63270799,137.055307647,SC Heracles Almelo,1440.03213918,1,2013-11-09T00:00:00,0-3
FC Groningen,1601.10828136,135.241084556,PEC Zwolle,1505.6139606,0.5,2013-11-24T00:00:00,0-0
