fullname,mu,sigma,opp,opp_rating,result,date,score
FC Utrecht,1500,350,FC 03 Differdange,-1,0,2013-07-18T00:00:00,2-1
FC Utrecht,1500,350,FC 03 Differdange,-1,0.5,2013-07-25T00:00:00,3-3
FC Utrecht,1500.0,291.750423517,Go Ahead Eagles,1500.0,0.5,2013-08-04T00:00:00,1-1
FC Utrecht,1408.88501446,254.324638642,FC Groningen,1755.03673757,0,2013-08-11T00:00:00,2-0
FC Utrecht,1337.70122811,227.681581255,Twente Enschede,1662.29877189,0,2013-08-18T00:00:00,6-0
FC Utrecht,1524.20175413,216.787463488,AZ Alkmaar,1527.58780887,1,2013-08-25T00:00:00,2-0
FC Utrecht,1582.92137304,204.273368214,PEC Zwolle,1756.98401339,0.5,2013-09-01T00:00:00,1-1
FC Utrecht,1633.97528439,189.306346525,RKC Waalwijk,1354.42714637,1,2013-09-15T00:00:00,2-1
FC Utrecht,1512.87378546,179.335911213,Feyenoord Rotterdam,1520.12308826,0,2013-09-22T00:00:00,1-0
FC Utrecht,1485.81631224,169.553887729,Roda JC Kerkrade,1382.14719467,0.5,2013-09-28T00:00:00,3-3
FC Utrecht,1438.28830783,160.485917033,Ajax Amsterdam,1639.4691649,0,2013-10-06T00:00:00,3-0
FC Utrecht,1511.17288803,153.361019338,NAC Breda,1447.93164152,1,2013-10-19T00:00:00,4-2
FC Utrecht,1442.02546191,147.742956074,Cambuur Leeuwarden,1491.90969887,0,2013-10-26T00:00:00,3-1
FC Utrecht,1495.58455524,143.064386914,Heerenveen,1389.16304405,1,2013-11-03T00:00:00,2-0
FC Utrecht,1461.83015029,140.324710553,Vitesse Arnhem,1667.09072949,0,2013-11-09T00:00:00,3-1
FC Utrecht,1512.89731084,137.1832289,ADO Den Haag,1421.86901381,1,2013-11-24T00:00:00,3-0
