fullname,mu,sigma,opp,opp_rating,result,date,score
Feyenoord Rotterdam,1336.0817892,291.752894037,PEC Zwolle,1663.9182108,0,2013-08-04T00:00:00,2-1
Feyenoord Rotterdam,1244.96326243,254.329313137,Twente Enschede,1591.11498554,0,2013-08-11T00:00:00,1-4
Feyenoord Rotterdam,1174.10077446,228.378007029,Ajax Amsterdam,1503.54327837,0,2013-08-18T00:00:00,2-1
Feyenoord Rotterdam,1174.10077446,228.378007029,Kuban Krasnodar,-1,0,2013-08-22T00:00:00,1-0
Feyenoord Rotterdam,1290.21650657,205.064562033,NAC Breda,1138.19291207,1,2013-08-25T00:00:00,3-1
Feyenoord Rotterdam,1290.21650657,205.064562033,Kuban Krasnodar,-1,0,2013-08-29T00:00:00,1-2
Feyenoord Rotterdam,1437.30617461,194.40977384,Roda JC Kerkrade,1437.72520709,1,2013-09-01T00:00:00,4-0
Feyenoord Rotterdam,1407.74234868,182.008581708,NEC Nijmegen,1308.89982201,0.5,2013-09-15T00:00:00,3-3
Feyenoord Rotterdam,1520.12308826,173.877830994,FC Utrecht,1512.87378546,1,2013-09-22T00:00:00,1-0
Feyenoord Rotterdam,1553.96781128,167.310061451,ADO Den Haag,1256.29942775,1,2013-09-29T00:00:00,4-2
Feyenoord Rotterdam,1619.35223405,158.425402918,Vitesse Arnhem,1497.74574833,1,2013-10-06T00:00:00,1-2
Feyenoord Rotterdam,1600.86088882,152.232156871,Go Ahead Eagles,1513.71613739,0.5,2013-10-19T00:00:00,2-2
Feyenoord Rotterdam,1515.22944587,149.079872806,SC Heracles Almelo,1481.20136337,0,2013-10-27T00:00:00,1-2
Feyenoord Rotterdam,1566.12597731,143.908776061,Cambuur Leeuwarden,1443.83868109,1,2013-11-03T00:00:00,0-2
Feyenoord Rotterdam,1577.14936562,140.302526054,AZ Alkmaar,1638.07091297,0.5,2013-11-10T00:00:00,2-2
Feyenoord Rotterdam,1492.93694705,140.789940321,RKC Waalwijk,1385.79900995,0,2013-11-24T00:00:00,1-0
