fullname,mu,sigma,opp,opp_rating,result,date,score
Fiorentina,1500,350,Grasshoppers,-1,1,2013-08-22T00:00:00,1-2
Fiorentina,1663.9182108,291.752894037,Catania,1336.0817892,1,2013-08-26T00:00:00,2-1
Fiorentina,1663.9182108,291.752894037,Grasshoppers,-1,0,2013-08-29T00:00:00,0-1
Fiorentina,1722.85508374,263.968963767,Genoa,1277.14491626,1,2013-09-01T00:00:00,2-5
Fiorentina,1670.63106155,234.076908242,Cagliari,1571.02663755,0.5,2013-09-15T00:00:00,1-1
Fiorentina,1670.63106155,234.076908242,Paços de Ferreira,-1,1,2013-09-19T00:00:00,3-0
Fiorentina,1734.92528122,212.21350208,Atalanta,1432.08341026,1,2013-09-22T00:00:00,0-2
Fiorentina,1652.22389785,193.26444245,Internazionale,1849.63073646,0,2013-09-26T00:00:00,2-1
Fiorentina,1606.95997827,183.685073243,Parma,1445.80160854,0.5,2013-09-30T00:00:00,2-2
Fiorentina,1606.95997827,183.685073243,Dnipro Dnipropetrovsk,-1,1,2013-10-03T00:00:00,1-2
Fiorentina,1595.18573591,171.47288181,Lazio,1553.06007704,0.5,2013-10-06T00:00:00,0-0
Fiorentina,1716.77088376,168.632535961,Juventus,1813.71924672,1,2013-10-20T00:00:00,4-2
Fiorentina,1716.77088376,168.632535961,Pandurii Targu-Jiu,-1,1,2013-10-24T00:00:00,3-0
Fiorentina,1726.25925027,170.117064114,Chievo Verona,1182.91129689,1,2013-10-27T00:00:00,1-2
Fiorentina,1681.67209914,161.572881977,Napoli,1902.02797786,0,2013-10-30T00:00:00,1-2
Fiorentina,1733.81098625,153.571839245,AC Milan,1578.43647909,1,2013-11-02T00:00:00,0-2
Fiorentina,1733.81098625,153.571839245,Pandurii Targu-Jiu,-1,1,2013-11-07T00:00:00,1-2
Fiorentina,1750.63894476,153.428042697,Sampdoria,1362.96453252,1,2013-11-10T00:00:00,2-1
Fiorentina,1641.41638222,154.1716648,Udinese,1463.69324196,0,2013-11-24T00:00:00,1-0
