fullname,mu,sigma,opp,opp_rating,result,date,score
Fulham,1663.9182108,291.752894037,Sunderland,1336.0817892,1,2013-08-17T00:00:00,0-1
Fulham,1428.5128981,263.983836944,Arsenal,1571.4871019,0,2013-08-24T00:00:00,1-3
Fulham,1310.3052072,230.400212476,Newcastle United,1542.48745259,0,2013-08-31T00:00:00,1-0
Fulham,1294.95875162,206.118742749,West Bromwich Albion,1258.51575271,0.5,2013-09-14T00:00:00,1-1
Fulham,1260.66894392,196.06618241,Chelsea,1638.35118823,0,2013-09-21T00:00:00,2-0
Fulham,1213.21436101,183.35341728,Cardiff City,1491.60387787,0,2013-09-28T00:00:00,1-2
Fulham,1327.27999103,174.43017808,Stoke City,1322.71461758,1,2013-10-05T00:00:00,1-0
Fulham,1377.35340451,165.017195859,Crystal Palace,1165.63164975,1,2013-10-21T00:00:00,1-4
Fulham,1350.86771427,161.166834645,Southampton,1676.43458492,0,2013-10-26T00:00:00,2-0
Fulham,1326.56502533,158.106084621,Manchester United,1655.85954183,0,2013-11-02T00:00:00,1-3
Fulham,1304.91234968,156.200629754,Liverpool,1653.8331494,0,2013-11-09T00:00:00,4-0
Fulham,1263.04058546,150.239473585,Swansea City,1456.89264963,0,2013-11-23T00:00:00,1-2
