fullname,mu,sigma,opp,opp_rating,result,date,score
Genoa,1336.0817892,291.752894037,Internazionale,1663.9182108,0,2013-08-25T00:00:00,2-0
Genoa,1277.14491626,263.968963767,Fiorentina,1722.85508374,0,2013-09-01T00:00:00,2-5
Genoa,1411.66545523,229.633319571,Sampdoria,1213.20352423,1,2013-09-15T00:00:00,0-3
Genoa,1440.05037503,206.969678352,Livorno,1508.73726683,0.5,2013-09-21T00:00:00,0-0
Genoa,1333.15442345,189.512273986,Udinese,1446.45329044,0,2013-09-24T00:00:00,1-0
Genoa,1323.84590887,190.124336547,Napoli,1930.62197857,0,2013-09-28T00:00:00,0-2
Genoa,1323.90032571,175.674114165,Catania,1324.08148995,0.5,2013-10-06T00:00:00,1-1
Genoa,1379.41043232,165.135547797,Chievo Verona,1192.02728937,1,2013-10-20T00:00:00,2-1
Genoa,1361.86712959,163.854697006,Juventus,1772.12044347,0,2013-10-27T00:00:00,2-0
Genoa,1457.18004042,158.432548031,Parma,1474.55634451,1,2013-10-30T00:00:00,1-0
Genoa,1531.21378334,151.728555521,Lazio,1483.15481269,1,2013-11-03T00:00:00,0-2
Genoa,1610.82484003,147.732811637,Hellas Verona,1617.97159594,1,2013-11-10T00:00:00,2-0
Genoa,1599.33841339,143.283027081,AC Milan,1538.74220278,0.5,2013-11-23T00:00:00,1-1
