mu,sigma,opp,opp_rating,result,date
1336.0817892,291.752894037,Real Sociedad,1500,0,2013-08-17T00:00:00
1336.0817892,250.354123746,Almeria,1336.0817892,0.5,2013-08-23T00:00:00
1213.20352423,222.074559446,Real Valladolid,1277.14491626,0,2013-08-31T00:00:00
1311.18056058,201.611142998,Osasuna,1243.44505583,1,2013-09-15T00:00:00
1298.49198843,200.211300899,Real Madrid,1860.94272425,0,2013-09-22T00:00:00
1433.26276327,188.661121659,Celta Vigo,1544.95960168,1,2013-09-26T00:00:00
1560.34749043,179.844838508,Espanyol,1690.85706063,1,2013-09-29T00:00:00
1626.9545116,167.538818014,Real Betis,1534.42443215,1,2013-10-06T00:00:00
1664.30910289,160.768909669,Granada,1444.63211416,1,2013-10-20T00:00:00
1596.89140541,153.19964524,Athletic Bilbao,1619.81912746,0,2013-10-28T00:00:00
1659.78104234,147.583248813,Villarreal,1645.70735867,1,2013-10-31T00:00:00
1559.05453404,148.698530917,Valencia,1291.97606347,0,2013-11-03T00:00:00
1545.01820479,144.386200447,Elche,1457.72059553,0.5,2013-11-09T00:00:00
