fullname,mu,sigma,opp,opp_rating,result,date,score
Go Ahead Eagles,1500.0,291.750423517,FC Utrecht,1500.0,0.5,2013-08-04T00:00:00,1-1
Go Ahead Eagles,1591.11498554,254.324638642,ADO Den Haag,1244.96326243,1,2013-08-10T00:00:00,2-1
Go Ahead Eagles,1509.9770953,226.433612744,PSV Eindhoven,1808.83505538,0,2013-08-17T00:00:00,3-0
Go Ahead Eagles,1513.61755356,203.976857046,FC Groningen,1522.59565576,0.5,2013-08-25T00:00:00,3-3
Go Ahead Eagles,1590.80802047,186.744277116,RKC Waalwijk,1400.5704685,1,2013-08-31T00:00:00,1-4
Go Ahead Eagles,1509.82617038,173.826810255,AZ Alkmaar,1639.48742472,0,2013-09-15T00:00:00,3-0
Go Ahead Eagles,1526.81791453,164.467885325,Cambuur Leeuwarden,1594.6980307,0.5,2013-09-20T00:00:00,0-0
Go Ahead Eagles,1463.1348172,155.929368748,Ajax Amsterdam,1579.9430707,0,2013-09-28T00:00:00,6-0
Go Ahead Eagles,1496.73399132,151.709605704,NEC Nijmegen,1245.0034851,1,2013-10-05T00:00:00,4-3
Go Ahead Eagles,1513.71613739,147.08500759,Feyenoord Rotterdam,1600.86088882,0.5,2013-10-19T00:00:00,2-2
Go Ahead Eagles,1452.00299676,142.675441196,NAC Breda,1513.19928491,0,2013-10-26T00:00:00,5-0
Go Ahead Eagles,1511.45809554,139.092966045,Roda JC Kerkrade,1458.65780739,1,2013-11-09T00:00:00,1-4
Go Ahead Eagles,1481.12855255,137.277048665,Vitesse Arnhem,1698.02619182,0,2013-11-24T00:00:00,0-3
